"Row.names","Class","p1p1x","p2p2x","h_cgvc","ang_NHs","ang_CHs","dist_NH","dist_CH","h_scvc"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
"1A06_A","CODI","0.857260627","0.775618978","0.600557048","85.25317534","50.88562684","12.22832108","13.30677509","0.716392852"
